"","PotID","Harvest_time","Inoculum_name","Mycelium_weight","Mycelium_C","Mycelium_N","Mycelium_P","Mycelium_Si","Mycelium_Diameter","Mycelium_NP","Mycelium_CN","Mycelium_CP","Shoot_weight","Root_weight","Shoot_C","Root_C","Shoot_N","Root_N","Shoot_P","Root_P","Colonization"
"1",6,"2021-05-17","RI_VAM23",0.418,40.623202,2.619114,0.314084328358209,0.810249626865672,7.15666666666667,8.3388878830431,15.5102840120743,129.338519410844,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",14,"2021-05-17","ScuCal",0.101,43.262451754386,3.68569298245614,NA,NA,10.78,NA,11.737942351768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",26,"2021-05-17","GigMar",0.258,42.9882101694915,2.7525,0.186342721518987,1.98870474683544,13.3583333333333,14.7711699043718,15.6178783540387,230.694334713316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",48,"2021-05-17","RI_DAOM10",0.366,38.897792,1.810544,0.19313,2.2139125,13.0833333333333,9.37474240149122,21.4840357373254,201.407300781857,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",56,"2021-05-17","GloMos",0.588,40.4934554973822,1.77392670157068,0.162931640625,2.456203125,7.51857142857143,10.8875519497991,22.8270172953191,248.530336661748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,"2021-05-17","RI_VAM23",2.044,23.4772533333333,2.70145230769231,0.126396202531646,0.123943670886076,4.92333333333333,21.3728913810994,8.69060440803729,185.743344049085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",13,"2021-05-17","ScuCal",0.146,43.262451754386,3.68569298245614,NA,NA,7.025,NA,11.737942351768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",25,"2021-05-17","GigMar",0.17,42.9882101694915,2.7525,0.186342721518987,1.98870474683544,10.8166666666667,14.7711699043718,15.6178783540387,230.694334713316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",38,"2021-05-17","RI_DAOM10",1.275,28.1221514124294,1.56734519774011,0.310541111111111,3.80827944444445,5.03142857142857,5.04714236428206,17.9425384101585,90.558545732669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",58,"2021-05-17","GloMos",0.334,43.4035910714286,2.06288883928572,0.232871428571429,2.26238571428571,10.3657142857143,8.85848835960985,21.0401986984704,186.384355254279,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"2021-05-17","RI_VAM23",0.419,33.3543831578947,2.31725684210527,0.38486301369863,3.18382191780822,5.40888888888889,6.0209912608537,14.3939085870134,86.665597811935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",23,"2021-05-17","ScuCal",0.431,41.7358625,2.2520625,0.224731,1.859299,8.21875,10.0211475052396,18.5322842949519,185.714754528748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",35,"2021-05-17","GigMar",0.12,39.0095228571428,2.04735142857143,NA,NA,9.88571428571429,NA,19.0536525936645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",39,"2021-05-17","RI_DAOM10",0.774,38.627385945946,2.06818864864865,0.225302230483271,3.83384498141264,4.65,9.17961905753177,18.6769161368258,171.446975305529,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",59,"2021-05-17","GloMos",0.184,38.3939883116883,1.72008506493507,0.428989726027397,3.09115684931507,11.2042857142857,4.00961832084813,22.3209823132425,89.4986196225042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",12,"2021-05-17","RI_VAM23",0.308,41.4410876623376,2.64269480519481,0.206584403669725,1.92992339449541,5.46375,12.7923248718223,15.6813747773204,200.601240588284,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",24,"2021-05-17","ScuCal",0.106,43.262451754386,3.68569298245614,NA,NA,9.00666666666667,NA,11.737942351768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",36,"2021-05-17","GigMar",0.502,34.3833719008264,1.20534710743801,0.234468518518519,3.91317160493827,10.77625,5.14076309712687,28.5257015913938,146.643874060691,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",45,"2021-05-17","RI_DAOM10",1.068,38.2977116591928,1.25389910313902,0.187210273972603,2.25358698630137,12.81125,6.69781137825011,30.5428974016474,204.57056574148,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",57,"2021-05-17","GloMos",0.078,38.3939883116883,1.72008506493507,0.428989726027397,3.09115684931507,10.3777777777778,4.00961832084813,22.3209823132425,89.4986196225042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",6,"2021-06-08","RI_VAM23",1.413,27.5572115384615,1.71396634615384,0.358993103448276,4.44308189655172,5.63272727272727,4.77437123357104,16.078035371173,76.7625095684657,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",14,"2021-06-08","ScuCal",0.336,33.2709816513761,2.79776146788991,0.254346082949309,4.24768064516129,6.68285714285714,10.9998213278854,11.892000813232,130.80988417662,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",26,"2021-06-08","GigMar",0.057,NA,NA,NA,NA,9.9725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",48,"2021-06-08","RI_DAOM10",0.685,43.0582605932204,4.69631822033899,0.373777272727273,2.17897,5.92545454545455,12.5644830839291,9.16851426437461,115.197642379498,NA,NA,NA,NA,NA,NA,NA,NA,NA
